N   A 0.001030.000400.000000.000000.000000.00000
NNE A 0.001530.000610.000000.000000.000000.00000
NE  A 0.002590.001390.000000.000000.000000.00000
ENE A 0.004500.001780.000000.000000.000000.00000
E   A 0.004720.002580.000000.000000.000000.00000
ESE A 0.003880.002270.000000.000000.000000.00000
SE  A 0.002900.002170.000000.000000.000000.00000
SSE A 0.002190.002120.000000.000000.000000.00000
S   A 0.001450.001090.000000.000000.000000.00000
SSW A 0.000850.000890.000000.000000.000000.00000
SW  A 0.000700.000360.000000.000000.000000.00000
WSW A 0.000490.000280.000000.000000.000000.00000
W   A 0.000370.000250.000000.000000.000000.00000
WNW A 0.000320.000350.000000.000000.000000.00000
NW  A 0.000500.000400.000000.000000.000000.00000
NNW A 0.000540.000250.000000.000000.000000.00000
N   B 0.000270.000250.000030.000000.000000.00000
NNE B 0.000420.000710.000010.000000.000000.00000
NE  B 0.000850.001420.000010.000000.000000.00000
ENE B 0.001340.002190.000020.000000.000000.00000
E   B 0.001610.003050.000000.000000.000000.00000
ESE B 0.001060.002920.000000.000000.000000.00000
SE  B 0.000990.002740.000000.000000.000000.00000
SSE B 0.000610.002740.000020.000000.000000.00000
S   B 0.000430.001810.000000.000000.000000.00000
SSW B 0.000220.000880.000040.000000.000000.00000
SW  B 0.000190.000530.000030.000000.000000.00000
WSW B 0.000110.000420.000030.000000.000000.00000
W   B 0.000050.000410.000040.000000.000000.00000
WNW B 0.000080.000410.000080.000000.000000.00000
NW  B 0.000090.000460.000040.000000.000000.00000
NNW B 0.000180.000280.000030.000000.000000.00000
N   C 0.000310.000740.000100.000000.000000.00000
NNE C 0.000720.001960.000140.000010.000000.00000
NE  C 0.001120.003990.000220.000000.000000.00000
ENE C 0.001690.004460.000130.000000.000000.00000
E   C 0.002070.005830.000090.000000.000000.00000
ESE C 0.001440.005860.000080.000000.000000.00000
SE  C 0.001260.007100.000210.000000.000000.00000
SSE C 0.000910.008470.001080.000000.000000.00000
S   C 0.000710.006070.002220.000040.000000.00000
SSW C 0.000410.002580.001440.000070.000000.00000
SW  C 0.000330.001150.000720.000010.000000.00000
WSW C 0.000210.000780.000850.000020.000000.00000
W   C 0.000180.001210.001270.000030.000000.00000
WNW C 0.000160.001150.001530.000030.000000.00000
NW  C 0.000190.000970.000930.000050.000000.00000
NNW C 0.000290.000720.000380.000010.000000.00000
N   D 0.004680.007130.003280.000800.000140.00001
NNE D 0.004700.010390.005290.001570.000250.00007
NE  D 0.004190.008160.003410.000330.000010.00000
ENE D 0.004170.005770.001130.000030.000000.00000
E   D 0.004870.005680.000370.000040.000000.00000
ESE D 0.003650.006250.000670.000050.000000.00000
SE  D 0.003920.009840.003180.000170.000020.00000
SSE D 0.003890.016250.012780.001360.000090.00000
S   D 0.005450.024170.031700.007210.000160.00000
SSW D 0.004680.020730.029650.007870.000550.00000
SW  D 0.004500.013620.019610.008680.001100.00012
WSW D 0.004080.009690.014500.009780.001800.00023
W   D 0.003980.009680.016300.010860.002200.00027
WNW D 0.003190.009410.015430.011060.002420.00067
NW  D 0.004310.010140.013730.006180.000560.00001
NNW D 0.004270.007070.004060.000820.000020.00001
N   E 0.001960.005120.002130.000000.000000.00000
NNE E 0.001840.003570.001040.000000.000000.00000
NE  E 0.001190.001540.000140.000000.000000.00000
ENE E 0.000850.000750.000040.000000.000000.00000
E   E 0.001050.000390.000010.000000.000000.00000
ESE E 0.000930.000640.000030.000000.000000.00000
SE  E 0.001020.001060.000040.000000.000000.00000
SSE E 0.001390.002220.000120.000000.000000.00000
S   E 0.002330.008110.001050.000000.000000.00000
SSW E 0.002340.016240.002820.000000.000000.00000
SW  E 0.002280.017200.011040.000000.000000.00000
WSW E 0.002140.011640.006920.000000.000000.00000
W   E 0.002090.009020.002840.000000.000000.00000
WNW E 0.001870.009020.005060.000000.000000.00000
NW  E 0.001830.009800.004500.000000.000000.00000
NNW E 0.002280.005750.001470.000000.000000.00000
N   F 0.006480.006320.000000.000000.000000.00000
NNE F 0.003690.001650.000000.000000.000000.00000
NE  F 0.002580.000430.000000.000000.000000.00000
ENE F 0.001440.000220.000000.000000.000000.00000
E   F 0.001230.000130.000000.000000.000000.00000
ESE F 0.001010.000180.000000.000000.000000.00000
SE  F 0.001270.000260.000000.000000.000000.00000
SSE F 0.001620.000310.000000.000000.000000.00000
S   F 0.002280.001160.000000.000000.000000.00000
SSW F 0.003710.003270.000000.000000.000000.00000
SW  F 0.006590.013210.000000.000000.000000.00000
WSW F 0.006990.022960.000000.000000.000000.00000
W   F 0.006780.021530.000000.000000.000000.00000
WNW F 0.005770.015360.000000.000000.000000.00000
NW  F 0.006610.020950.000000.000000.000000.00000
NNW F 0.006690.010950.000000.000000.000000.00000
